用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
始皇迷弟,男,全部已更[抱拳],,一级评论,6,128,2022-07-12 22:34:01
AnnettaAlthea,保密,谢谢,始皇迷弟,二级评论,5,0,2022-08-23 13:16:26
凡事太尽缘份誓必早尽,保密,挺经，曾国藩，18条秘传心法，刚,始皇迷弟,二级评论,5,2,2022-09-03 12:23:21
唐三岁123,保密,哥，有视频版得嘛,始皇迷弟,二级评论,5,0,2023-01-20 17:47:08
雨滴的木木夕,保密,谢谢,始皇迷弟,二级评论,5,1,2023-02-16 21:50:47
死亡即使解脱,男,谢谢,始皇迷弟,二级评论,6,0,2023-05-24 13:37:45
云归来GXKJ,男,牛,始皇迷弟,二级评论,5,0,2023-05-29 20:00:48
东北邓肯,保密,太感谢了,始皇迷弟,二级评论,4,0,2023-10-11 19:25:16
小新dddw,保密,牛,始皇迷弟,二级评论,4,0,2025-01-30 19:18:36
PLC技术,男,有对应的书吗？,,一级评论,5,13,2022-07-13 23:45:12
始皇迷弟,男,可参考《郦波评说曾国藩家训》,PLC技术,二级评论,6,1,2022-07-14 08:41:41
PLC技术,男,回复 @始皇迷弟 :谢谢,PLC技术,二级评论,5,0,2022-07-14 09:16:07
风月清心丶,男,在书店看到过曾国藩家书,PLC技术,二级评论,5,0,2023-08-31 01:00:51
菠萝吹雪1995,男,有曾国藩才有湘军，有湘军才能惠及湖南几代读书人，才有宋教仁，以及开天辟地的教员。可以说从曾国藩开始，中国近代历史的齿轮就开始转动了,,一级评论,6,45,2023-07-27 00:27:01
啊恺噢,女,确实是！你看近代有大贡献的人很多都是湖南人,菠萝吹雪1995,二级评论,5,1,2023-11-06 08:02:40
儒雅随和助人为乐,男,回复 @啊恺噢 : 一部近代史，半部湖南人。,菠萝吹雪1995,二级评论,6,0,2023-12-28 16:21:06
秋玉米z,保密,你错了，湖南洋务是张之洞搞的，李鸿章的淮军也抢，安徽怎么没发展起来？，你也太小看工业化了,菠萝吹雪1995,二级评论,5,0,2024-03-06 13:15:41
风铃仙子兮,女,最伟大的几个人，王阳明先生，曾国藩，毛主席,菠萝吹雪1995,二级评论,6,1,2024-12-25 23:12:35
